variant,canonical,verdict,note
actualisation,actualization,variant,the variant column is the nonstandard spelling
borsch,borscht,variant,the variant column is the nonstandard spelling
ampule,ampoule,variant,the variant column is the nonstandard spelling
centerboard,centreboard,variant,the variant column is the nonstandard spelling
brasier,brazier,variant,the variant column is the nonstandard spelling
breathalyser,breathalyzer,variant,the variant column is the nonstandard spelling
shaytan,shaitan,variant,the variant column is the nonstandard spelling
marabout,marabou,unrelated,not a spelling pair
enology,oenology,reverse,the canonical column is the nonstandard spelling
quartette,quartet,variant,the variant column is the nonstandard spelling
jehad,jihad,variant,the variant column is the nonstandard spelling
ischaemia,ischemia,variant,the variant column is the nonstandard spelling
smoothy,smoothie,variant,the variant column is the nonstandard spelling
ameba,amoeba,reverse,the canonical column is the nonstandard spelling
ignitor,igniter,variant,the variant column is the nonstandard spelling
pilau,pilaf,variant,the variant column is the nonstandard spelling
spiraea,spirea,variant,the variant column is the nonstandard spelling
praetorium,pretorium,variant,the variant column is the nonstandard spelling
gelly,jelly,variant,the variant column is the nonstandard spelling
scrummage,scrimmage,unrelated,not a spelling pair
chitlins,chitterlings,variant,the variant column is the nonstandard spelling
sweetbriar,sweetbrier,variant,the variant column is the nonstandard spelling
resistent,resistant,variant,the variant column is the nonstandard spelling
ranee,rani,variant,the variant column is the nonstandard spelling
pantie,panty,variant,the variant column is the nonstandard spelling
honkey,honky,variant,the variant column is the nonstandard spelling
shmuck,schmuck,variant,the variant column is the nonstandard spelling
vaporiser,vaporizer,variant,the variant column is the nonstandard spelling
dehumanisation,dehumanization,variant,the variant column is the nonstandard spelling
regularisation,regularization,variant,the variant column is the nonstandard spelling
cognisance,cognizance,variant,the variant column is the nonstandard spelling
dyspnoea,dyspnea,variant,the variant column is the nonstandard spelling
arcsec,arcsecond,unrelated,not a spelling pair
aegir,eagre,variant,the variant column is the nonstandard spelling
humourist,humorist,variant,the variant column is the nonstandard spelling
pickax,pickaxe,variant,the variant column is the nonstandard spelling
ninjitsu,ninjutsu,variant,the variant column is the nonstandard spelling
clarinettist,clarinetist,variant,the variant column is the nonstandard spelling
skag,skeg,variant,the variant column is the nonstandard spelling
homogenisation,homogenization,variant,the variant column is the nonstandard spelling
matzoh,matzo,variant,the variant column is the nonstandard spelling
formalisation,formalization,variant,the variant column is the nonstandard spelling
malarky,malarkey,variant,the variant column is the nonstandard spelling
smidgeon,smidgen,variant,the variant column is the nonstandard spelling
minah,myna,variant,the variant column is the nonstandard spelling
palestra,palaestra,reverse,the canonical column is the nonstandard spelling
diagonalization,diagonalisation,reverse,the canonical column is the nonstandard spelling
leukocytosis,leucocytosis,variant,the variant column is the nonstandard spelling
unionisation,unionization,variant,the variant column is the nonstandard spelling
initialisation,initialization,variant,the variant column is the nonstandard spelling
mantlepiece,mantelpiece,variant,the variant column is the nonstandard spelling
monocot,monocotyledon,variant,the variant column is the nonstandard spelling
resid,resident,unrelated,not a spelling pair
airdrome,aerodrome,variant,the variant column is the nonstandard spelling
haematite,hematite,variant,the variant column is the nonstandard spelling
djinni,djinn,variant,the variant column is the nonstandard spelling
atomiser,atomizer,variant,the variant column is the nonstandard spelling
feminisation,feminization,variant,the variant column is the nonstandard spelling
coloniser,colonizer,variant,the variant column is the nonstandard spelling
premie,preemie,variant,the variant column is the nonstandard spelling
tricorne,tricorn,variant,the variant column is the nonstandard spelling
rachet,ratchet,variant,the variant column is the nonstandard spelling
cyme,senna,unrelated,not a spelling pair
energiser,energizer,variant,the variant column is the nonstandard spelling
miniaturisation,miniaturization,variant,the variant column is the nonstandard spelling
schmalz,schmaltz,variant,the variant column is the nonstandard spelling
novelisation,novelization,variant,the variant column is the nonstandard spelling
idealisation,idealization,variant,the variant column is the nonstandard spelling
gunnel,gunwale,variant,the variant column is the nonstandard spelling
vocalisation,vocalization,variant,the variant column is the nonstandard spelling
thalassaemia,thalassemia,variant,the variant column is the nonstandard spelling
salaah,salat,variant,the variant column is the nonstandard spelling
demoralisation,demoralization,variant,the variant column is the nonstandard spelling
mimeo,mimeograph,unrelated,not a spelling pair
appanage,apanage,variant,the variant column is the nonstandard spelling
arquebus,harquebus,variant,the variant column is the nonstandard spelling
embassador,ambassador,variant,the variant column is the nonstandard spelling
praesidium,presidium,variant,the variant column is the nonstandard spelling
paleogeography,palaeogeography,reverse,the canonical column is the nonstandard spelling
randomisation,randomization,variant,the variant column is the nonstandard spelling
centrefold,centerfold,variant,the variant column is the nonstandard spelling
loofa,loofah,variant,the variant column is the nonstandard spelling
tenia,taenia,reverse,the canonical column is the nonstandard spelling
plowshare,ploughshare,variant,the variant column is the nonstandard spelling
reveler,reveller,variant,the variant column is the nonstandard spelling
extravert,extrovert,variant,the variant column is the nonstandard spelling
viremia,viraemia,reverse,the canonical column is the nonstandard spelling
creese,kris,variant,the variant column is the nonstandard spelling
pastille,pastel,unrelated,not a spelling pair
creatin,creatine,variant,the variant column is the nonstandard spelling
perve,perv,variant,the variant column is the nonstandard spelling
titbit,tidbit,variant,the variant column is the nonstandard spelling
pean,paean,reverse,the canonical column is the nonstandard spelling
cornelian,carnelian,variant,the variant column is the nonstandard spelling
tappa,tapa,variant,the variant column is the nonstandard spelling
soubriquet,sobriquet,variant,the variant column is the nonstandard spelling
radicle,radical,unrelated,not a spelling pair
maffia,mafia,variant,the variant column is the nonstandard spelling
clon,clone,variant,the variant column is the nonstandard spelling
sherd,shard,variant,the variant column is the nonstandard spelling
cardamon,cardamom,variant,the variant column is the nonstandard spelling
hyperglycaemia,hyperglycemia,variant,the variant column is the nonstandard spelling
mortice,mortise,variant,the variant column is the nonstandard spelling
duellist,duelist,variant,the variant column is the nonstandard spelling
cowry,cowrie,variant,the variant column is the nonstandard spelling
epilog,epilogue,reverse,the canonical column is the nonstandard spelling
kalif,caliph,variant,the variant column is the nonstandard spelling
adjustor,adjuster,variant,the variant column is the nonstandard spelling
tippler,tipple,unrelated,not a spelling pair
aery,eyrie,variant,the variant column is the nonstandard spelling
kinsfolk,kinfolk,variant,the variant column is the nonstandard spelling
federalisation,federalization,variant,the variant column is the nonstandard spelling
fontanel,fontanelle,variant,the variant column is the nonstandard spelling
ascendent,ascendant,variant,the variant column is the nonstandard spelling
scaley,scaly,variant,the variant column is the nonstandard spelling
cupper,cuppa,unrelated,not a spelling pair
behaviourism,behaviorism,variant,the variant column is the nonstandard spelling
luffa,loofah,variant,the variant column is the nonstandard spelling
subsidisation,subsidization,variant,the variant column is the nonstandard spelling
mackle,macule,variant,the variant column is the nonstandard spelling
belligerency,belligerence,variant,the variant column is the nonstandard spelling
kopeck,kopek,variant,the variant column is the nonstandard spelling
goony,gooney,unrelated,not a spelling pair
barcarolle,barcarole,variant,the variant column is the nonstandard spelling
curbstone,kerbstone,reverse,the canonical column is the nonstandard spelling
chyle,chile,unrelated,not a spelling pair
cigaret,cigarette,variant,the variant column is the nonstandard spelling
rabbet,rabbit,unrelated,not a spelling pair
linage,lineage,variant,the variant column is the nonstandard spelling
wannabee,wannabe,variant,the variant column is the nonstandard spelling
highjack,hijack,variant,the variant column is the nonstandard spelling
faqir,fakir,variant,the variant column is the nonstandard spelling
snowplough,snowplow,variant,the variant column is the nonstandard spelling
manakin,manikin,unrelated,not a spelling pair
grayness,greyness,variant,the variant column is the nonstandard spelling
bolshy,bolshie,variant,the variant column is the nonstandard spelling
sanyasi,sannyasi,variant,the variant column is the nonstandard spelling
blether,blather,variant,the variant column is the nonstandard spelling
epaulet,epaulette,variant,the variant column is the nonstandard spelling
cyder,cider,variant,the variant column is the nonstandard spelling
litoral,littoral,variant,the variant column is the nonstandard spelling
sheesha,shisha,variant,the variant column is the nonstandard spelling
cataloger,cataloguer,variant,the variant column is the nonstandard spelling
arctan,arctangent,unrelated,not a spelling pair
chanty,shanty,variant,the variant column is the nonstandard spelling
sharpy,sharpie,variant,the variant column is the nonstandard spelling
idyl,idyll,variant,the variant column is the nonstandard spelling
towny,townie,variant,the variant column is the nonstandard spelling
leitmotiv,leitmotif,variant,the variant column is the nonstandard spelling
beldam,beldame,variant,the variant column is the nonstandard spelling
theorization,theorisation,reverse,the canonical column is the nonstandard spelling
hareem,harem,variant,the variant column is the nonstandard spelling
magnetisation,magnetization,variant,the variant column is the nonstandard spelling
sanitisation,sanitization,variant,the variant column is the nonstandard spelling
pipal,peepul,variant,the variant column is the nonstandard spelling
paleoclimatology,palaeoclimatology,reverse,the canonical column is the nonstandard spelling
prevue,preview,variant,the variant column is the nonstandard spelling
caffein,caffeine,variant,the variant column is the nonstandard spelling
bogy,bogey,variant,the variant column is the nonstandard spelling
mujahadeen,mujahideen,variant,the variant column is the nonstandard spelling
chadar,chador,variant,the variant column is the nonstandard spelling
congeneric,congener,unrelated,adjective vs noun; not a spelling pair
encrustation,incrustation,variant,the variant column is the nonstandard spelling
autogiro,autogyro,variant,the variant column is the nonstandard spelling
fitspo,fitspiration,unrelated,not a spelling pair
bocci,bocce,variant,the variant column is the nonstandard spelling
atomisation,atomization,variant,the variant column is the nonstandard spelling
materialisation,materialization,variant,the variant column is the nonstandard spelling
syph,syphilis,unrelated,not a spelling pair
factorisation,factorization,variant,the variant column is the nonstandard spelling
vaporisation,vaporization,variant,the variant column is the nonstandard spelling
garrotte,garrote,variant,the variant column is the nonstandard spelling
caravansary,caravanserai,variant,the variant column is the nonstandard spelling
beigel,bagel,variant,the variant column is the nonstandard spelling
gantlet,gauntlet,variant,the variant column is the nonstandard spelling
egis,aegis,reverse,the canonical column is the nonstandard spelling
kerosine,kerosene,variant,the variant column is the nonstandard spelling
visualiser,visualizer,variant,the variant column is the nonstandard spelling
canalization,canalisation,reverse,the canonical column is the nonstandard spelling
aglet,aiglet,variant,the variant column is the nonstandard spelling
billhook,bill,unrelated,not a spelling pair
freebee,freebie,variant,the variant column is the nonstandard spelling
phantasma,phantasm,variant,the variant column is the nonstandard spelling
chapatti,chapati,variant,the variant column is the nonstandard spelling
sirup,syrup,variant,the variant column is the nonstandard spelling
propellent,propellant,variant,the variant column is the nonstandard spelling
fraternisation,fraternization,variant,the variant column is the nonstandard spelling
glister,clyster,unrelated,not a spelling pair
gismo,gizmo,variant,the variant column is the nonstandard spelling
fondu,fondue,unrelated,not a spelling pair
compartmentalisation,compartmentalization,variant,the variant column is the nonstandard spelling
haemostasis,hemostasis,variant,the variant column is the nonstandard spelling
monopolisation,monopolization,variant,the variant column is the nonstandard spelling
bastardisation,bastardization,variant,the variant column is the nonstandard spelling
salpa,salp,variant,the variant column is the nonstandard spelling
cyanamid,cyanamide,variant,the variant column is the nonstandard spelling
styrax,storax,variant,the variant column is the nonstandard spelling
archil,orchil,variant,the variant column is the nonstandard spelling
calliper,caliper,variant,the variant column is the nonstandard spelling
tormenter,tormentor,variant,the variant column is the nonstandard spelling
rigamarole,rigmarole,variant,the variant column is the nonstandard spelling
hemianopia,hemianopsia,variant,the variant column is the nonstandard spelling
bicorne,bicorn,variant,the variant column is the nonstandard spelling
fesse,fess,variant,the variant column is the nonstandard spelling
karabiner,carabiner,variant,the variant column is the nonstandard spelling
individualisation,individualization,variant,the variant column is the nonstandard spelling
sallet,salad,unrelated,not a spelling pair
absinth,absinthe,variant,the variant column is the nonstandard spelling
catheterisation,catheterization,variant,the variant column is the nonstandard spelling
oxidiser,oxidizer,variant,the variant column is the nonstandard spelling
sahuaro,saguaro,variant,the variant column is the nonstandard spelling
maiolica,majolica,variant,the variant column is the nonstandard spelling
ramee,ramie,variant,the variant column is the nonstandard spelling
coprophagia,coprophagy,variant,the variant column is the nonstandard spelling
synapsis,synapse,unrelated,not a spelling pair
hootch,hooch,variant,the variant column is the nonstandard spelling
hyperlipidaemia,hyperlipidemia,variant,the variant column is the nonstandard spelling
dissimilation,dissimulation,unrelated,not a spelling pair
ichthyosaurus,ichthyosaur,variant,the variant column is the nonstandard spelling
doura,durra,variant,the variant column is the nonstandard spelling
siliqua,silique,variant,the variant column is the nonstandard spelling
haemorrhoid,hemorrhoid,variant,the variant column is the nonstandard spelling
schnaps,schnapps,variant,the variant column is the nonstandard spelling
steriliser,sterilizer,variant,the variant column is the nonstandard spelling
fogy,fogey,variant,the variant column is the nonstandard spelling
ottar,attar,variant,the variant column is the nonstandard spelling
depersonalisation,depersonalization,variant,the variant column is the nonstandard spelling
raphia,raffia,variant,the variant column is the nonstandard spelling
guestimate,guesstimate,variant,the variant column is the nonstandard spelling
stylisation,stylization,variant,the variant column is the nonstandard spelling
connecter,connector,variant,the variant column is the nonstandard spelling
damozel,damsel,variant,the variant column is the nonstandard spelling
whimsey,whimsy,variant,the variant column is the nonstandard spelling
recognisance,recognizance,variant,the variant column is the nonstandard spelling
nebuliser,nebulizer,variant,the variant column is the nonstandard spelling
summersault,somersault,variant,the variant column is the nonstandard spelling
chequerboard,checkerboard,variant,the variant column is the nonstandard spelling
narwal,narwhal,variant,the variant column is the nonstandard spelling
mannikin,manikin,unrelated,not a spelling pair
panoche,panocha,variant,the variant column is the nonstandard spelling
decimeter,decimetre,reverse,the canonical column is the nonstandard spelling
haler,heller,variant,the variant column is the nonstandard spelling
premiss,premise,variant,the variant column is the nonstandard spelling
oxidisation,oxidization,variant,the variant column is the nonstandard spelling
abetter,abettor,variant,the variant column is the nonstandard spelling
clangor,clangour,reverse,the canonical column is the nonstandard spelling
arccos,arccosine,unrelated,not a spelling pair
shivah,shiva,variant,the variant column is the nonstandard spelling
callisthenics,calisthenics,variant,the variant column is the nonstandard spelling
leucocyte,leukocyte,variant,the variant column is the nonstandard spelling
spik,spic,variant,the variant column is the nonstandard spelling
claxon,klaxon,variant,the variant column is the nonstandard spelling
melioration,amelioration,variant,the variant column is the nonstandard spelling
loadstar,lodestar,variant,the variant column is the nonstandard spelling
pouffe,pouf,variant,the variant column is the nonstandard spelling
bandoleer,bandolier,variant,the variant column is the nonstandard spelling
superstrate,superstratum,unrelated,not a spelling pair
hasheesh,hashish,variant,the variant column is the nonstandard spelling
informercial,infomercial,variant,the variant column is the nonstandard spelling
tranquillizer,tranquilizer,variant,the variant column is the nonstandard spelling
pipet,pipette,variant,the variant column is the nonstandard spelling
shoveller,shoveler,variant,the variant column is the nonstandard spelling
highflyer,highflier,variant,the variant column is the nonstandard spelling
subtractor,subtracter,variant,the variant column is the nonstandard spelling
tompion,tampion,variant,the variant column is the nonstandard spelling
vizor,visor,variant,the variant column is the nonstandard spelling
felafel,falafel,variant,the variant column is the nonstandard spelling
doyley,doily,variant,the variant column is the nonstandard spelling
loadstone,lodestone,variant,the variant column is the nonstandard spelling
autarchy,autarky,unrelated,not a spelling pair
paraesthesia,paresthesia,variant,the variant column is the nonstandard spelling
asafetida,asafoetida,reverse,the canonical column is the nonstandard spelling
koppie,kopje,variant,the variant column is the nonstandard spelling
choky,chokey,variant,the variant column is the nonstandard spelling
arcsin,arcsine,unrelated,not a spelling pair
haemolysis,hemolysis,variant,the variant column is the nonstandard spelling
berretta,biretta,variant,the variant column is the nonstandard spelling
philtre,philter,variant,the variant column is the nonstandard spelling
buret,burette,variant,the variant column is the nonstandard spelling
syneresis,synaeresis,reverse,the canonical column is the nonstandard spelling
merlon,merlin,unrelated,not a spelling pair
hiccough,hiccup,variant,the variant column is the nonstandard spelling
quantisation,quantization,variant,the variant column is the nonstandard spelling
cive,chive,variant,the variant column is the nonstandard spelling
twirp,twerp,variant,the variant column is the nonstandard spelling
fascicule,fascicle,unrelated,not a spelling pair
obligato,obbligato,variant,the variant column is the nonstandard spelling
turnround,turnaround,variant,the variant column is the nonstandard spelling
kismat,kismet,variant,the variant column is the nonstandard spelling
motorisation,motorization,variant,the variant column is the nonstandard spelling
czardas,csardas,variant,the variant column is the nonstandard spelling
centile,percentile,unrelated,not a spelling pair
scarabaeus,scarab,variant,the variant column is the nonstandard spelling
gaberdine,gabardine,variant,the variant column is the nonstandard spelling
hudood,hudud,variant,the variant column is the nonstandard spelling
hejira,hegira,variant,the variant column is the nonstandard spelling
plowboy,ploughboy,variant,the variant column is the nonstandard spelling
oxyhemoglobin,oxyhaemoglobin,reverse,the canonical column is the nonstandard spelling
chantey,shanty,variant,the variant column is the nonstandard spelling
sumach,sumac,variant,the variant column is the nonstandard spelling
haematocrit,hematocrit,variant,the variant column is the nonstandard spelling
curet,curette,variant,the variant column is the nonstandard spelling
solemnisation,solemnization,variant,the variant column is the nonstandard spelling
shivaree,charivari,variant,the variant column is the nonstandard spelling
garotte,garrotte,variant,the variant column is the nonstandard spelling
revery,reverie,variant,the variant column is the nonstandard spelling
shwa,schwa,variant,the variant column is the nonstandard spelling
decimalization,decimalisation,reverse,the canonical column is the nonstandard spelling
ribband,ribbon,unrelated,not a spelling pair
plyers,pliers,unrelated,not a spelling pair
digitiser,digitizer,variant,the variant column is the nonstandard spelling
shlock,schlock,variant,the variant column is the nonstandard spelling
nooky,nookie,variant,the variant column is the nonstandard spelling
sheika,sheikha,variant,the variant column is the nonstandard spelling
lavaliere,lavalier,unrelated,not a spelling pair
oestradiol,estradiol,variant,the variant column is the nonstandard spelling
iglu,igloo,variant,the variant column is the nonstandard spelling
filagree,filigree,variant,the variant column is the nonstandard spelling
miaou,miaow,variant,the variant column is the nonstandard spelling
bullrush,bulrush,variant,the variant column is the nonstandard spelling
graybeard,greybeard,variant,the variant column is the nonstandard spelling
palaeobotany,paleobotany,variant,the variant column is the nonstandard spelling
diffusor,diffuser,variant,the variant column is the nonstandard spelling
pretor,praetor,reverse,the canonical column is the nonstandard spelling
depolarisation,depolarization,variant,the variant column is the nonstandard spelling
amebiasis,amoebiasis,reverse,the canonical column is the nonstandard spelling
vacuolization,vacuolation,variant,the variant column is the nonstandard spelling
hectoliter,hectolitre,reverse,the canonical column is the nonstandard spelling
sepulture,sepulchre,unrelated,not a spelling pair
katharsis,catharsis,variant,the variant column is the nonstandard spelling
kelter,kilter,variant,the variant column is the nonstandard spelling
stigmatism,astigmatism,unrelated,not a spelling pair
civies,civvies,unrelated,not a spelling pair
externalisation,externalization,variant,the variant column is the nonstandard spelling
theatregoer,theatergoer,variant,the variant column is the nonstandard spelling
romanticisation,romanticization,variant,the variant column is the nonstandard spelling
dyarchy,diarchy,variant,the variant column is the nonstandard spelling
lagune,lagoon,variant,the variant column is the nonstandard spelling
banian,banyan,variant,the variant column is the nonstandard spelling
travelog,travelogue,reverse,the canonical column is the nonstandard spelling
haemoptysis,hemoptysis,variant,the variant column is the nonstandard spelling
lazarette,lazaret,variant,the variant column is the nonstandard spelling
thyroxin,thyroxine,variant,the variant column is the nonstandard spelling
hypercalcaemia,hypercalcemia,variant,the variant column is the nonstandard spelling
tramontane,tramontana,unrelated,not a spelling pair
kumis,koumiss,variant,the variant column is the nonstandard spelling
muzhik,mujik,variant,the variant column is the nonstandard spelling
sheikhdom,sheikdom,variant,the variant column is the nonstandard spelling
barytone,baritone,unrelated,not a spelling pair
fatwah,fatwa,variant,the variant column is the nonstandard spelling
preterit,preterite,variant,the variant column is the nonstandard spelling
discant,descant,variant,the variant column is the nonstandard spelling
mandril,mandrel,variant,the variant column is the nonstandard spelling
ascendence,ascendance,variant,the variant column is the nonstandard spelling
carbonisation,carbonization,variant,the variant column is the nonstandard spelling
akvavit,aquavit,variant,the variant column is the nonstandard spelling
sacculus,saccule,unrelated,not a spelling pair
weirdy,weirdie,variant,the variant column is the nonstandard spelling
chapiter,chapter,unrelated,the capital of a column; a distinct architectural noun
rente,rent,unrelated,not a spelling pair
algorism,algorithm,variant,the variant column is the nonstandard spelling
launce,lance,variant,the variant column is the nonstandard spelling
sacque,sack,variant,the variant column is the nonstandard spelling
drouth,drought,variant,the variant column is the nonstandard spelling
gasolene,gasoline,variant,the variant column is the nonstandard spelling
advertizement,advertisement,reverse,the canonical column is the nonstandard spelling
alinement,alignment,variant,the variant column is the nonstandard spelling
indorsement,endorsement,variant,the variant column is the nonstandard spelling
cholesterin,cholesterol,variant,the variant column is the nonstandard spelling
bowlder,boulder,variant,the variant column is the nonstandard spelling
templet,template,variant,the variant column is the nonstandard spelling
yoghourt,yogurt,variant,the variant column is the nonstandard spelling
fetich,fetish,variant,the variant column is the nonstandard spelling
turbulency,turbulence,variant,the variant column is the nonstandard spelling
bilingualist,bilingual,unrelated,"bilingual is an adjective, not the same word"
imaum,imam,variant,the variant column is the nonstandard spelling
convergency,convergence,variant,the variant column is the nonstandard spelling
leucaemia,leukemia,variant,the variant column is the nonstandard spelling
dossal,dorsal,unrelated,an altar cloth vs the anatomical adjective
dossel,dorsal,unrelated,same as dossal; not a spelling of dorsal
secretariate,secretariat,variant,the variant column is the nonstandard spelling
reenforcement,reinforcement,variant,the variant column is the nonstandard spelling
vodoun,voodoo,variant,the variant column is the nonstandard spelling
shibah,shiva,variant,the variant column is the nonstandard spelling
lipide,lipid,variant,the variant column is the nonstandard spelling
boloney,bologna,variant,the variant column is the nonstandard spelling
deflexion,deflection,variant,the variant column is the nonstandard spelling
chetah,cheetah,variant,the variant column is the nonstandard spelling
disforestation,deforestation,variant,the variant column is the nonstandard spelling
puttee,patti,unrelated,not a spelling pair
iodin,iodine,variant,the variant column is the nonstandard spelling
caviare,caviar,variant,the variant column is the nonstandard spelling
pyxie,pixie,variant,the variant column is the nonstandard spelling
preventible,preventable,variant,the variant column is the nonstandard spelling
dowery,dowry,variant,the variant column is the nonstandard spelling
cadency,cadence,variant,the variant column is the nonstandard spelling
deodourant,deodorant,variant,the variant column is the nonstandard spelling
chamaeleon,chameleon,variant,the variant column is the nonstandard spelling
pacificist,pacifist,variant,the variant column is the nonstandard spelling
aquiculture,aquaculture,variant,the variant column is the nonstandard spelling
emeer,emir,variant,the variant column is the nonstandard spelling
narcism,narcissism,variant,the variant column is the nonstandard spelling
gaolbreak,jailbreak,variant,the variant column is the nonstandard spelling
hommos,hummus,variant,the variant column is the nonstandard spelling
hoummos,hummus,variant,the variant column is the nonstandard spelling
tannia,tania,variant,the variant column is the nonstandard spelling
methadon,methadone,variant,the variant column is the nonstandard spelling
pollenation,pollination,variant,the variant column is the nonstandard spelling
suppresser,suppressor,variant,the variant column is the nonstandard spelling
tunnage,tonnage,variant,the variant column is the nonstandard spelling
euphuism,euphemism,unrelated,not a spelling pair
kaliph,caliph,variant,the variant column is the nonstandard spelling
musjid,masjid,variant,the variant column is the nonstandard spelling
damoiselle,damsel,variant,the variant column is the nonstandard spelling
damosel,damsel,variant,the variant column is the nonstandard spelling
tampion,tampon,unrelated,not a spelling pair
toffy,toffee,variant,the variant column is the nonstandard spelling
theine,thane,unrelated,not a spelling pair
mitsvah,mitzvah,variant,the variant column is the nonstandard spelling
nybble,nibble,variant,the variant column is the nonstandard spelling
ricksha,rickshaw,variant,the variant column is the nonstandard spelling
margarin,margarine,variant,the variant column is the nonstandard spelling
swob,swab,variant,the variant column is the nonstandard spelling
baguet,baguette,variant,the variant column is the nonstandard spelling
banshie,banshee,variant,the variant column is the nonstandard spelling
jumbal,jumble,variant,the variant column is the nonstandard spelling
casava,cassava,variant,the variant column is the nonstandard spelling
orangutang,orangutan,variant,the variant column is the nonstandard spelling
cottar,cotter,variant,the variant column is the nonstandard spelling
honkie,honky,variant,the variant column is the nonstandard spelling
tabour,tabor,variant,the variant column is the nonstandard spelling
kidnaper,kidnapper,variant,the variant column is the nonstandard spelling
punchayet,panchayat,variant,the variant column is the nonstandard spelling
chlorophyl,chlorophyll,variant,the variant column is the nonstandard spelling
mandibula,mandible,variant,the variant column is the nonstandard spelling
pirana,piranha,variant,the variant column is the nonstandard spelling
scollop,scallop,variant,the variant column is the nonstandard spelling
mesquit,mesquite,variant,the variant column is the nonstandard spelling
cardamum,cardamom,variant,the variant column is the nonstandard spelling
epinephrin,epinephrine,variant,the variant column is the nonstandard spelling
holibut,halibut,variant,the variant column is the nonstandard spelling
gildhall,guildhall,variant,the variant column is the nonstandard spelling
intifadah,intifada,variant,the variant column is the nonstandard spelling
polypropene,polypropylene,variant,the variant column is the nonstandard spelling
schnorkel,snorkel,variant,the variant column is the nonstandard spelling
phrenetic,frenetic,variant,the variant column is the nonstandard spelling
axone,axon,variant,the variant column is the nonstandard spelling
sanatarium,sanitarium,unrelated,not a spelling pair
barbacan,barbican,variant,the variant column is the nonstandard spelling
cirrhus,cirrus,variant,the variant column is the nonstandard spelling
laniard,lanyard,variant,the variant column is the nonstandard spelling
seriph,serif,variant,the variant column is the nonstandard spelling
gauntry,gantry,variant,the variant column is the nonstandard spelling
haschisch,hashish,variant,the variant column is the nonstandard spelling
effecter,effector,variant,the variant column is the nonstandard spelling
virulency,virulence,variant,the variant column is the nonstandard spelling
cutlas,cutlass,variant,cutlass is the usual spelling
flection,flexion,variant,the variant column is the nonstandard spelling
tryptophane,tryptophan,variant,the variant column is the nonstandard spelling
ceratin,keratin,variant,the variant column is the nonstandard spelling
durion,durian,variant,the variant column is the nonstandard spelling
paeony,peony,variant,the variant column is the nonstandard spelling
wistaria,wisteria,variant,the variant column is the nonstandard spelling
cattie,catty,variant,the variant column is the nonstandard spelling
fillagree,filigree,variant,the variant column is the nonstandard spelling
highjacker,hijacker,variant,the variant column is the nonstandard spelling
mensh,mensch,variant,the variant column is the nonstandard spelling
springbuck,springbok,variant,the variant column is the nonstandard spelling
mastodont,mastodon,variant,the variant column is the nonstandard spelling
prolapsus,prolapse,variant,the variant column is the nonstandard spelling
cantaloup,cantaloupe,variant,the variant column is the nonstandard spelling
zamang,zaman,variant,the variant column is the nonstandard spelling
schtik,shtick,variant,the variant column is the nonstandard spelling
shtik,shtick,variant,the variant column is the nonstandard spelling
myeline,myelin,variant,the variant column is the nonstandard spelling
biriani,biryani,variant,the variant column is the nonstandard spelling
fellation,fellatio,variant,the variant column is the nonstandard spelling
mierkat,meerkat,variant,the variant column is the nonstandard spelling
demagog,demagogue,reverse,the canonical column is the nonstandard spelling
paraquet,parakeet,variant,the variant column is the nonstandard spelling
paroquet,parakeet,variant,the variant column is the nonstandard spelling
parrakeet,parakeet,variant,the variant column is the nonstandard spelling
parroket,parakeet,variant,the variant column is the nonstandard spelling
parroquet,parakeet,variant,the variant column is the nonstandard spelling
marchpane,marzipan,variant,the variant column is the nonstandard spelling
felspar,feldspar,variant,the variant column is the nonstandard spelling
hodometer,odometer,variant,the variant column is the nonstandard spelling
gerbille,gerbil,variant,the variant column is the nonstandard spelling
pachouli,patchouli,variant,the variant column is the nonstandard spelling
patchouly,patchouli,variant,the variant column is the nonstandard spelling
fetichism,fetishism,variant,the variant column is the nonstandard spelling
isomorphy,isomorphism,variant,the variant column is the nonstandard spelling
gendarmery,gendarmerie,variant,the variant column is the nonstandard spelling
kaoline,kaolin,variant,the variant column is the nonstandard spelling
cullender,colander,variant,the variant column is the nonstandard spelling
botulinus,botulinum,variant,the variant column is the nonstandard spelling
eschalot,shallot,variant,the variant column is the nonstandard spelling
cohoe,coho,variant,the variant column is the nonstandard spelling
comeupance,comeuppance,variant,the variant column is the nonstandard spelling
indorser,endorser,variant,the variant column is the nonstandard spelling
shumac,sumac,variant,the variant column is the nonstandard spelling
chutzpa,chutzpah,variant,the variant column is the nonstandard spelling
fantasm,phantasm,variant,the variant column is the nonstandard spelling
hutzpah,chutzpah,variant,the variant column is the nonstandard spelling
impermanency,impermanence,variant,the variant column is the nonstandard spelling
caffer,kaffir,variant,the variant column is the nonstandard spelling
caffre,kaffir,variant,the variant column is the nonstandard spelling
wivern,wyvern,variant,the variant column is the nonstandard spelling
accompanyist,accompanist,variant,the variant column is the nonstandard spelling
baisa,paisa,variant,the variant column is the nonstandard spelling
baiza,paisa,variant,the variant column is the nonstandard spelling
buckeroo,buckaroo,variant,the variant column is the nonstandard spelling
cunnilinctus,cunnilingus,variant,the variant column is the nonstandard spelling
mocassin,moccasin,variant,the variant column is the nonstandard spelling
neuralgy,neuralgia,variant,the variant column is the nonstandard spelling
smidgin,smidgen,variant,the variant column is the nonstandard spelling
