noun,zipf,tier,senses,lexfile,register,domain,in_wn30,also_proper_noun,recommended,excluded_because,definition
drypis,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,spiny-leaved perennial herb of southern Europe having terminal clusters of small flowers
ductulus,0.0,OBSCURE,1,noun.body,MED,,True,False,False,obscure,a very small duct
duodiode,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,"an electron tube having two diodes in the same envelope, with either a common cathode or separate cathodes."
dustmop,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a dry swab for dusting floors
dwojniak,0.0,OBSCURE,1,noun.food,GENERAL,,False,False,False,obscure,"a Polish mead, made using equal amounts of water and honey."
dysaphia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,a disorder in the sense of touch
dysomia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,impairment of the sense of smell
eblis,0.0,OBSCURE,1,noun.person,SPECIAL,Islam,True,False,False,obscure,(Islam) the principal evil jinni in Islamic mythology
ecrevisse,0.0,OBSCURE,2,noun.food,GENERAL,,True,False,False,obscure,tiny lobster-like crustaceans usually boiled briefly
eggshake,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,a milkshake with egg in it
elsholtzia,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of various aromatic herbs of the genus Elsholtzia having blue or purple flowers in one-sided spikes
emunctorium,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,a white linen cloth which is used to wipe the chalice after each communicant partakes.
encephalartos,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of numerous cycads of the genus Encephalartos having stout cylindrical trunks and a terminal crown of long often spiny pinnate leaves
endaemonism,0.0,OBSCURE,1,noun.cognition,GENERAL,,True,False,False,obscure,an ethical system that evaluates actions by reference to personal well-being through a life based on reason
endopsammon,0.0,OBSCURE,1,noun.animal,BIO,,False,False,False,obscure,The microscopic fauna of sand and mud.
endozoan,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,any of various parasites that live in the internal organs of animals (especially intestinal worms)
energetism,0.0,OBSCURE,1,noun.cognition,GENERAL,,False,False,False,obscure,the philosophical theory that energy is the substrate of all phenomena and that all observable changes can be interpreted as transformations of one kind of energy into another.
engelmannia,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,common erect hairy perennial of plains and prairies of southern and central United States having flowers that resemble sunflowers
enteroceptor,0.0,OBSCURE,1,noun.body,MED,,True,False,False,obscure,any receptor that responds to stimuli inside the body
entomion,0.0,OBSCURE,1,noun.body,MED,,True,False,False,obscure,the craniometric point at the tip of the angular part of the parietal bone that articulates with the temporal bone
entrecote,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,cut of meat taken from between the ribs
eoraptor,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,a theropod dinosaur of the genus Eoraptor
epidendron,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of various orchids of the genus Epidendrum
epixylon,0.0,OBSCURE,1,noun.animal,BIO,,False,False,False,obscure,organisms that are attached to submerged wood surfaces in aquatic ecosystems.
eptatretus,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,a fossil hagfish of the genus Eptatretus
ergotropism,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,an affinity for work
erythrocytolysin,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,any substance that can cause lysis (destruction) of erythrocytes (red blood cells) and the release of their hemoglobin
erythrolysin,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,any substance that can cause lysis (destruction) of erythrocytes (red blood cells) and the release of their hemoglobin
etymologizing,0.0,OBSCURE,1,noun.communication,SPECIAL,historical linguistics,True,False,False,obscure,(historical linguistics) an explanation of the historical origins of a word or phrase
everting,0.0,OBSCURE,1,noun.act,SPECIAL,sexual activity,True,False,False,obscure,the act of turning inside out
exbibit,0.0,OBSCURE,1,noun.quantity,GENERAL,,True,False,False,obscure,a unit of information equal to 1024 pebibits or 2^60 bits
excisewoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a woman who collects taxes for the government
extractivity,0.0,OBSCURE,1,noun.quantity,GENERAL,,False,False,False,obscure,the amount of extract that grains of malt yield.
ezed,0.0,OBSCURE,1,noun.communication,GENERAL,,True,False,False,obscure,the 26th letter of the Roman alphabet
fastnacht,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,doughnut traditionally eaten on Shrove Tuesday
fedelline,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,extremely fine pasta thinner than vermicelli
federita,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,a Sudanese sorghum having exceptionally large soft white grains
femtovolt,0.0,OBSCURE,1,noun.quantity,GENERAL,,True,False,False,obscure,a unit of potential equal to one quadrillionth of a volt (or one thousandth of a picovolt)
fencesitter,0.0,OBSCURE,1,noun.person,SPECIAL,politics,True,False,False,obscure,a neutral or uncommitted person (especially in politics)
feryaz,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,"a broad kaftan with long sleeves, worn by the nobility in Russia in the 16th and 17th centuries."
fibromyositis,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,local inflammation of muscle and connective tissue
fieldswoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female member of the cricket team that is fielding rather than batting
filago,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any plant of the genus Filago having capitate clusters of small woolly flower heads
fingerflower,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,tall leafy European biennial or perennial having spectacular clusters of large tubular pink-purple flowers; leaves yield drug digitalis and are poisonous to livestock
flatbrod,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,the thin wafer-like bread of Scandinavia
floodhead,0.0,OBSCURE,1,noun.phenomenon,GENERAL,,True,False,False,obscure,a wall of water rushing ahead of the flood
fluoridisation,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,the addition of a fluoride to the water supply (to prevent dental decay)
fluoroboride,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a salt of fluoroboric acid
fluxmeter,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,meter that measures magnetic flux by the current it generates in a coil
fogsignal,0.0,OBSCURE,1,noun.communication,GENERAL,,True,False,False,obscure,a loud low warning signal that can be heard by fogbound ships
footfault,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,a fault that occurs when the server in tennis fails to keep both feet behind the baseline
foryml,0.0,OBSCURE,1,noun.substance,TEC,chemistry,True,False,False,obscure,(chemistry) the negative univalent acyl radical CHO that occurs in aldehydes
freeperson,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a person who is not a serf or a slave
frijolito,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,shrub or small tree having pinnate leaves poisonous to livestock and dense racemes of intensely fragrant blue flowers and red beans
frontstall,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,medieval plate armor to protect a horse's head
fthm,0.0,OBSCURE,2,noun.quantity,TEC,mining,True,False,False,obscure,a linear unit of measurement (equal to 6 feet) for water depth
fuglewoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female leader and organizer and spokesman (especially a political leader)
fumeroot,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,delicate European herb with greyish leaves and spikes of purplish flowers; formerly used medicinally
funrun,0.0,OBSCURE,1,noun.event,GENERAL,,True,False,False,obscure,a footrace run for fun (often including runners who are sponsored for a charity)
furket,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,"A forked pole, about four feet in length, used as a support for muskets."
galactosis,0.0,OBSCURE,1,noun.process,GENERAL,,True,False,False,obscure,the secretion of milk
galere,0.0,OBSCURE,1,noun.group,GENERAL,,True,False,False,obscure,a coterie of undesirable people
gallous,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,alternative terms for gallows
gametoecium,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,gametangia and surrounding bracts
garambulla,0.0,OBSCURE,2,noun.plant,BIO,,True,False,False,obscure,arborescent cactus of western Mexico bearing a small oblong edible berrylike fruit
gastrolobium,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of various Australian evergreen shrubs of the genus Gastrolobium having whorled compound leaves poisonous to livestock and showy yellow to deep reddish-orange flowers followed by two-seeded pods
gastromy,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,surgical incision into the stomach
gastromycete,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any fungus of the class Gasteromycetes
gaswoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a woman employed by a gas company
gauffer,0.0,OBSCURE,2,noun.artifact,GENERAL,,True,False,False,obscure,an iron used to press pleats and ridges
geezerhood,0.0,OBSCURE,1,noun.time,GENERAL,,True,False,False,obscure,a late time of life
genlisea,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,rootless carnivorous swamp plants having at the base of the stem a rosette of foliage and leaves consisting of slender tubes swollen in the middle to form traps; each tube passes into two long spirally twisted arms with stiff hairs
ghatti,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,an Indian gum from the dhawa tree; used as a substitute for gum arabic
gipsywort,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,hairy Eurasian herb with two-lipped white flowers
glareole,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,Old World shorebird with long pointed wings and short legs; closely related to the coursers
gliricidia,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of several small deciduous trees valued for their dark wood and dense racemes of nectar-rich pink flowers grown in great profusion on arching branches; roots and bark and leaves and seeds are poisonous
glycerogelatin,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a medicated skin preparation made from glycerin and glycerinated gelatin
gnetum,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,small tropical tree with tiered branches and divaricate branchlets having broad glossy dark green leaves; exploited for its edible young leaves and seeds that provide a fine flour
goldbricking,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,the evasion of work or duty
golfcart,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a small motor vehicle in which golfers can ride between shots
golfclub,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,golf equipment used by a golfer to hit a golf ball
gosmore,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,European weed widely naturalized in North America having yellow flower heads and leaves resembling a cat's ears
gracilariid,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,small dull or metallic-colored tineoid moths whose larvae mine in plant leaves
groenendael,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,black-coated sheepdog with a heavily plumed tail
gynaeolatry,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,the worship of women
gyromitra,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any fungus of the genus Gyromitra
hadrosaurus,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,any of numerous large bipedal ornithischian dinosaurs having a horny duck-like bill and webbed feet; may have been partly aquatic
haematocoele,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,swelling caused by blood collecting in a body cavity (especially a swelling of the membrane covering the testis)
haematocolpometra,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,accumulation of blood in the vagina and uterus
haematocytopenia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,an abnormally low number of red blood cells in the blood
haematocyturia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,the presence of red blood cells in the urine
haemoglobinemia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,presence of excessive hemoglobin in the blood plasma
haemophile,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,someone who has hemophilia and is subject to uncontrollable bleeding
halobacter,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,halophiles in saline environments such as the Dead Sea or salt flats
handbow,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a bow drawn by hand as distinguished from a crossbow
harpulla,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,fast-growing tree of India and East Indies yielding a wood used especially for building
harpullia,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of various tree of the genus Harpullia
hauncher,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,a machine for making shaped cuts in the end or along the edge of a board.
hayrig,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a frame attached to a wagon to increase the amount of hay it can carry
headcounter,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,someone who conducts surveys of public opinion
hediondilla,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,desert shrub of southwestern United States and New Mexico having persistent resinous aromatic foliage and small yellow flowers
heeltip,0.0,OBSCURE,1,noun.location,GENERAL,,False,False,False,obscure,"The bottom end of a heel, usually made of plastic or metal."
heliophila,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of various South African herbs and subshrubs cultivated for long showy racemes of bright blue flowers with white eyes
helleri,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,freshwater fish of Central America having a long swordlike tail; popular aquarium fish
helmetflower,0.0,OBSCURE,3,noun.plant,BIO,,True,False,False,obscure,"a herbaceous plant of the genus Scutellaria which has a calyx that, when inverted, resembles a helmet with its visor raised"
helvella,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any fungus of the genus Helvella having the ascocarps stalked or pleated or often in folds
hematocoele,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,swelling caused by blood collecting in a body cavity (especially a swelling of the membrane covering the testis)
hematocolpometra,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,accumulation of blood in the vagina and uterus
hematocyturia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,the presence of red blood cells in the urine
hemogenesis,0.0,OBSCURE,1,noun.process,GENERAL,,True,False,False,obscure,the formation of blood cells in the living body (especially in the bone marrow)
hemophile,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,someone who has hemophilia and is subject to uncontrollable bleeding
hemstitching,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a stitch in which parallel threads are drawn and exposed threads are caught together in groups
herpangia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,a viral infection (usually in children) marked by sore throat and fever and papules in the mouth and throat and headache and abdominal pain; usually subsides in a short time
herrerasaur,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,a kind of theropod dinosaur found in Argentina
herrerasaurus,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,a kind of theropod dinosaur found in Argentina
heterometaboly,0.0,OBSCURE,1,noun.process,GENERAL,,True,False,False,obscure,development of insects with incomplete metamorphosis in which no pupal stage precedes maturity
hindshank,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,a cut of meat from the upper part of a rear leg
hollygrape,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,ornamental evergreen shrub of Pacific coast of North America having dark green pinnate leaves and racemes of yellow flowers followed by blue-black berries
holometabola,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,insects that undergo complete metamorphosis
homefolk,0.0,OBSCURE,1,noun.group,GENERAL,,True,False,False,obscure,the people of your home locality (especially your own family)
hormism,0.0,OBSCURE,1,noun.cognition,GENERAL,,False,False,False,obscure,psychology concerned with the purposive factor or force in behavior.
horseshow,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,a competitive exhibition of horses
hotelwoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female owner or manager of hotels
housepaint,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,paint used to cover the exterior woodwork of a house
huamachil,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,common thorny tropical American tree having terminal racemes of yellow flowers followed by sickle-shaped or circinate edible pods and yielding good timber and a yellow dye and mucilaginous gum
huitre,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,edible body of any of numerous oysters
hydrazoite,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a salt of hydrazoic acid
hydroisohypse,0.0,OBSCURE,1,noun.location,GENERAL,,False,False,False,obscure,a line on a map connecting points of equal level on the piezometric surface.
hydroisopieze,0.0,OBSCURE,1,noun.location,GENERAL,,False,False,False,obscure,a line on a map connecting points of identical pressures in the water bearing stratum.
hydroxytetracycline,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a yellow crystalline antibiotic (trademark Terramycin) obtained from a soil actinomycete; used to treat various bacterial and rickettsial infections
hypercatalectic,0.0,OBSCURE,1,noun.communication,SPECIAL,prosody,True,False,False,obscure,(prosody) a line of poetry having an extra syllable or syllables at the end of the last metrical foot
hyperpiesia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,persistent and pathological high blood pressure for which no specific cause can be found
hyperpiesis,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,persistent and pathological high blood pressure for which no specific cause can be found
hyperthermy,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,abnormally high body temperature; sometimes induced (as in treating some forms of cancer)
hypnagogue,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,an agent that induces drowsiness or sleep
ianfu,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,a woman forced into prostitution for Japanese servicemen during World War II
iberomesornis,0.0,OBSCURE,1,noun.animal,BIO,,False,False,False,obscure,sparrow-sized fossil bird of the Cretaceous period having a vestigial tail; found in Spain; considered possibly the third most primitive of all birds
icaco,0.0,OBSCURE,2,noun.plant,BIO,,True,False,False,obscure,small tropical American tree bearing edible plumlike fruit
ichthyostega,0.0,OBSCURE,1,noun.animal,BIO,,False,False,False,obscure,early tetrapod amphibian found in Greenland
ictodosaur,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,intermediate in form between the therapsids and most primitive true mammals
idesia,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,deciduous roundheaded Asiatic tree widely grown in mild climates as an ornamental for its heart-shaped leaves and fragrant yellow-green flowers followed by hanging clusters of fleshy orange-red berries
imperishingness,0.0,OBSCURE,1,noun.attribute,GENERAL,,True,False,False,obscure,the property of being resistant to decay
ingraining,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,teaching or impressing upon the mind by frequent instruction or repetition
innocense,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,white and lavender to pale-blue flowers grow in perfect rings of widely spaced bands around the stems forming a kind of pagoda; California
inpour,0.0,OBSCURE,1,noun.process,GENERAL,,True,False,False,obscure,an inflow
instagay,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,"A photo on the Instagram website, which is related to homosexuality"
instalike,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,something that is so good that it deserves to be instantly voted for on social media
intercessio,0.0,OBSCURE,1,noun.attribute,GENERAL,,False,False,False,obscure,the right of veto possessed by Roman magistrates.
intumescency,0.0,OBSCURE,2,noun.state,GENERAL,,True,False,False,obscure,swelling up with blood or other fluids (as with congestion)
iodocompound,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a compound containing the covalent iodine radical
iridokeratitis,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,inflammation of the iris and cornea of the eye
iridoncus,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,swelling of the iris of the eye
irridentism,0.0,OBSCURE,1,noun.cognition,GENERAL,,True,False,False,obscure,the doctrine that irredenta should be controlled by the country to which they are ethnically or historically related
irridentist,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,an advocate of irredentism
isanemone,0.0,OBSCURE,1,noun.location,GENERAL,,False,False,False,obscure,an isogram connecting points having equal wind speed.
isoagglutination,0.0,OBSCURE,1,noun.process,GENERAL,,True,False,False,obscure,agglutination of an agglutinogen of one individual by a serum from another individual of the same species
isoagglutinogen,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,an antigen capable of causing the production of (or reacting with) an isoagglutinin
isochalaz,0.0,OBSCURE,1,noun.location,GENERAL,,False,False,False,obscure,a line indicating a constant frequency of hail storms.
isogone,0.0,OBSCURE,1,noun.location,GENERAL,,True,False,False,obscure,an imaginary line connecting points on the Earth's surface where the magnetic declination is the same
isopieze,0.0,OBSCURE,1,noun.location,GENERAL,,False,False,False,obscure,a line on a map connecting places with equal ground water pressure.
jaboncillo,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,evergreen of tropical America having pulpy fruit containing saponin which was used as soap by Native Americans
jambosa,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,tropical tree of the East Indies cultivated for its edible fruit
japorn,0.0,OBSCURE,1,noun.act,GENERAL,,False,False,False,obscure,Japanese pornography
jimhickey,0.0,OBSCURE,2,noun.person,GENERAL,,True,False,False,obscure,someone excellent of their kind
jumbojet,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a very large jet plane
jupaty,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,a tall Brazilian feather palm with a terminal crown of very large leathery pinnatisect leaves rising from long strong stems used for structural purposes
kalansuwa,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a cap that is wrapped around by a turban and worn by Muslim religious elders
kalantas,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,Philippine timber tree having hard red fragrant wood
kalpac,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a high-crowned black cap (usually made of felt or sheepskin) worn by men in Turkey and Iran and the Caucasus
kalumpang,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,large tree of Old World tropics having foul-smelling orange-red blossoms followed by red pods enclosing oil-rich seeds sometimes used as food
kamilavka,0.0,OBSCURE,1,noun.artifact,SPECIAL,Orthodox Church,False,False,False,obscure,A headdress worn among Orthodox Christian monastics and clergy.
kaury,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,tall timber tree of New Zealand having white straight-grained wood
kentan,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,east Asian perennial having large reddish-orange black-spotted flowers with reflexed petals
keratodermia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,any skin disorder consisting of a growth that appears horny
keratoiritis,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,inflammation of the cornea and the iris of the eye
keratonosis,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,any abnormal condition of the outer skin (epidermis)
keratonosus,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,any disease of the cornea
keteleeria,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,Asiatic conifers resembling firs
kibit,0.0,OBSCURE,1,noun.quantity,GENERAL,,True,False,False,obscure,a unit of information equal to 1024 bits
kitembilla,0.0,OBSCURE,2,noun.plant,BIO,,True,False,False,obscure,a small shrubby spiny tree cultivated for its maroon-purple fruit with sweet purple pulp tasting like gooseberries; Sri Lanka and India
knawe,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,widely distributed low-growing Eurasian herb having narrow leaves and inconspicuous green flowers
kohleria,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,shrubby herb cultivated for their soft velvety foliage and showy scarlet flowers
krigia,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any small branched yellow-flowered North American herb of the genus Krigia
kurchee,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,tropical Asian tree with hard white wood and bark formerly used as a remedy for dysentery and diarrhea
kweek,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,trailing grass native to Europe now cosmopolitan in warm regions; used for lawns and pastures especially in southern United States and India
landswoman,0.0,OBSCURE,2,noun.person,GENERAL,,False,False,False,obscure,a female inexperienced sailor; a sailor on the first voyage
landwoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female person who lives and works on land
langset,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,East Indian tree bearing an edible yellow berry
lansa,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,East Indian tart yellow berrylike fruit
lanset,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,East Indian tart yellow berrylike fruit
lanthanon,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,any element of the lanthanide series (atomic numbers 57 through 71)
latanier,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,fan palms of the southern United States and the Caribbean region
latergram,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,a photo to be posted to Instagram at a later date
lazuline,0.0,OBSCURE,1,noun.attribute,GENERAL,,True,False,False,obscure,a light shade of blue
lecanopteris,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of several bizarre ferns of the genus Lecanopteris having swollen hollow rhizomes that provide homes for symbiotic ants
ledgeman,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,a male quarry worker who splits off blocks of stone
ledgewoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female quarry worker who splits off blocks of stone
leging,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a garment covering the leg (usually extending from the knee to the ankle)
lemanderin,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,hybrid between mandarin orange and lemon having very acid fruit with orange peel
leoncita,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,small South American marmoset with silky fur and long nonprehensile tail
leopardbane,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of several herbs of the genus Doronicum having alternate often clasping stem leaves cultivated for their long stalks of yellow flower heads
lepidobotrys,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,African tree often classified in other families; similar to the Costa Rican caracolito in wood structure as well as in fruit and flowers and leaves and seeds
lepidophobia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,a morbid fear of snakes
lepiota,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any fungus of the genus Lepiota
leporide,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,red breed of domestic rabbits; hybrid between Old World rabbit and hare
leresis,0.0,OBSCURE,1,noun.attribute,GENERAL,,True,False,False,obscure,rambling talkativeness (especially in the aged)
leucocytozoon,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,parasitic in birds
lighterwoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a woman who operates a barge
lignosae,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,a category in some early taxonomies
liparis,0.0,OBSCURE,1,noun.plant,BIO,,True,True,False,obscure,an orchid of the genus Liparis having few leaves and usually fairly small yellow-green or dull purple flowers in terminal racemes
lipochondrodystrophy,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,hereditary disease (autosomal recessive) consisting of an error is mucopolysaccharide metabolism; characterized by severe abnormalities in development of skeletal cartilage and bone and mental retardation
