noun,wikipedia
firmware,"In computing, firmware is a specific class of computer software that provides the low-level control for a device's specific hardware."
firstborn,A firstborn (also known as an eldest child or sometimes firstling) is the first child born to in the birth order of a couple through childbirth.
firth,"Firth is a word in the English and Scots languages used to denote various coastal waters in the United Kingdom, predominantly within Scotland."
fisc,"Under the Merovingians and Carolingians, the fisc (from Latin fiscus, whence we derive ""fiscal"") applied to the royal demesne which paid taxes, entirely in kind, from which the royal household was meant to be supported, though it rarely was."
fish,"A fish (pl.: fish or fishes) is an aquatic, craniate, gill-bearing animal that lacks limbs with digits."
fishbone,"Fishbone is an American rock band from Los Angeles, California."
fisherman,"A fisherman or fisher is someone who captures fish and other animals from a body of water, or gathers shellfish.Worldwide, there are about 38 million commercial and subsistence fishers and fish farmers."
fishery,"Fishery can mean either the enterprise of raising or harvesting fish and other aquatic life or, more commonly, the site where such enterprise takes place (a.k.a., fishing grounds)."
fishing,Fishing is the activity of trying to catch fish.
fishmonger,A fishmonger (historically fishwife for female practitioners) is someone who sells raw fish and seafood.
fishnet,"In the field of textiles, fishnet is hosiery with an open, diamond-shaped knit; it is most often used as a material for stockings, tights, gloves or bodystockings."
fishplate,"A fishplate, splice bar or joint bar is a metal connecting plate used to bolt the ends of two rails into a continuous track."
fishwife,"A fishwife, fish-fag or fishlass is a woman who sells fish."
fissure,"A fissure is a long, narrow crack opening along the surface of Earth."
fist,A fist is the shape of a hand when the fingers are bent inward against the palm and held there tightly.
fistmele,"Fistmele, also known as the ""brace height"", is a term used in archery to describe the distance between a bow and its string."
fistula,"In anatomy, a fistula (pl.: fistulas or fistulae ; from Latin fistula, ""tube, pipe"") is an abnormal connection (i.e."
fives,"Fives (historically known as hand-tennis) is an English handball sport derived from jeu de paume, similar to the games of handball, Basque pelota, and squash."
fjord,"In physical geography, a fjord or fiord ( ) is a long, narrow sea inlet with steep sides or cliffs, created by a glacier."
flag,A flag is a piece of fabric (most often rectangular) with a distinctive design and colours.
flagellant,Flagellants are practitioners of a form of mortification of the flesh by whipping their skin with various instruments of penance.
flagellate,A flagellate is a cell or organism with one or more whip-like appendages called flagella.
flagellation,"Flagellation  (Latin flagellum, 'whip'), flogging or whipping is the act of beating the human body with special implements such as whips, rods, switches, the cat o' nine tails, the sjambok, the knout, etc."
flagellum,"A flagellum (; pl.: flagella) (Latin for 'whip' or 'scourge') is a hairlike appendage that protrudes from certain plant and animal sperm cells, from fungal spores (zoospores), and from a wide range of microorganisms to provide motility."
flageolet,The flageolet is a woodwind instrument and a member of the family of duct flutes that includes recorders and tin whistles.
flagfish,"The flagfish (Jordanella floridae), also known as the  American flagfish or Florida flagfish, is a species of pupfish, a type of killifish from the family Cyprinodontidae which is endemic to Florida."
flagon,"A flagon () is a large leather, metal, glass, plastic or ceramic vessel,  used for drink, whether this be water, ale, or another liquid."
flagpole,"A flagpole, flagmast, flagstaff, or staff is a pole designed to support a flag."
flagship,"A flagship is a vessel used by the commanding officer of a group of naval ships, characteristically a flag officer entitled by custom to fly a distinguishing flag."
flagstone,"Flagstone (flag) is a generic flat stone, sometimes cut in regular rectangular or square shape and usually used for paving slabs or walkways, patios, flooring, fences and roofing."
flail,"A flail is an agricultural tool used for threshing, the process of separating grains from their husks."
flamboyant,"Flamboyant (from French  flamboyant 'flaming') is a form of late Gothic architecture that developed in Europe in the Late Middle Ages and Renaissance, from around 1375 to the mid-16th century."
flame,"A flame (from Latin  flamma) is the visible, gaseous part of a fire."
flamen,A flamen (plural flamines) was a priest of the ancient Roman religion who was assigned to one of eighteen deities with official cults during the Roman Republic.
flamenco,"Flamenco (Spanish pronunciation: [flaˈmeŋko]) is an art form based on the various folkloric music traditions of southern Spain, developed within the gitano subculture of the region of Andalusia, and also having historical presence in Extremadura and Murcia."
flamethrower,A flamethrower is a ranged incendiary device designed to project a controllable jet of fire.
flamingo,"Flamingos or flamingoes  are a type of wading bird in the family Phoenicopteridae, which is the only extant family in the order Phoenicopteriformes."
flange,"A flange is a protruded ridge, lip or rim, either external or internal, that serves to increase strength (as the flange of an iron beam such as an I-beam or a T-beam); for easy attachment/transfer of contact force with another object (as the flange on the end of a pipe, steam cylinder, etc., or on the lens mount of a camera); or for stabilizing and guiding the movements of a machine or its parts (as the inside flange of a rail car or tram wheel, which keep the wheels from running off the rails)."
flannel,"Flannel is a soft woven fabric, of varying fineness."
flapper,"Flappers were a subculture of young Western women in the 1920s who wore short skirts (knee height was considered short during that period), bobbed their hair, listened to jazz, and flaunted their disdain for what was then considered acceptable behavior."
flapping,"Flapping or tapping, also known as alveolar flapping, intervocalic flapping, or t-voicing, is a phonological process involving a voiced alveolar tap or flap; it is found in many varieties of English, especially North American, Cardiff, Ulster, Australian and New Zealand English, where the voiceless alveolar stop consonant phoneme /t/ is pronounced as a voiced alveolar flap [ɾ], a sound produced by briefly tapping the alveolar ridge with the tongue, when placed between vowels."
flare,"A flare, also sometimes called a fusée, fusee, or bengala, bengalo in several European countries, is a type of pyrotechnic that produces a bright light or intense heat without an explosion."
flashcard,"A flashcard or flash card is a card bearing information on both sides, which is intended to be used as an aid in memorization."
flashlight,"A flashlight (US), or torch (CE) is a portable hand-held electric lamp."
flashover,A flashover is the near-simultaneous ignition of most of the directly exposed combustible material in an enclosed area.
flatboat,A flatboat (or broadhorn) was a rectangular flat-bottomed boat with square ends used to transport freight and passengers on inland waterways in the United States.
flatbread,"A flatbread is a bread made with flour; water, milk, yogurt, or other liquid; and salt, and then thoroughly rolled into flattened dough."
flatcar,"A flatcar (US) (also flat car, or flatbed) is a piece of rolling stock that consists of an open, flat deck mounted on a pair of trucks (US) or bogies (UK), one at each end containing four or six wheels."
flatfish,"A flatfish is a member of the ray-finned demersal fish order Pleuronectiformes, also called the Heterosomata, sometimes classified as a suborder of Perciformes."
flattery,"Flattery (also called adulation or blandishment) is the act of giving excessive compliments, generally for the purpose of ingratiating oneself with the subject."
flattop,A flattop is a type of haircut where the hair on the top of the head is cut and styled upright to form a flat profile when viewed from the front or side.
flatulence,"Flatulence, in humans, is the expulsion of gas from the intestines via the anus, commonly referred to as farting."
flatworm,"The flatworms, flat worms, Platyhelminthes, or platyhelminths (from the Greek πλατύ, platy, meaning ""flat"" and ἕλμινς (root: ἑλμινθ-), helminth-, meaning ""worm"") are a phylum of relatively simple bilaterian, unsegmented, soft-bodied invertebrates."
flavivirus,"Flavivirus, renamed Orthoflavivirus in 2023, is a genus of positive-strand RNA viruses in the family Flaviviridae."
flavone,"Flavone is an organic compound with the formula C6H4OC3H(Ph)O. A white solid, flavone is a derivative of chromone with a phenyl (Ph) substituent adjacent to the ether group."
flavonoid,"Flavonoids (or bioflavonoids; from the Latin word flavus, meaning yellow, their color in nature) are a class of polyphenolic secondary metabolites found in plants, and thus commonly consumed in the diets of humans.Chemically, flavonoids have the general structure of a 15-carbon skeleton, which consists of two phenyl rings (A and B) and a heterocyclic ring (C, the ring containing the embedded oxygen)."
flavoring,"A flavoring (or flavouring), also known as flavor (or flavour) or flavorant, is a food additive used to improve the taste or smell of food."
flax,"Flax, also known as common flax or linseed, is a flowering plant, Linum usitatissimum, in the family Linaceae."
flea,"Flea, the common name for the order Siphonaptera, includes 2,500 species of small flightless insects that live as external parasites of mammals and birds."
fleabag,"Fleabag is a British comedy-drama television series created and written by Phoebe Waller-Bridge, based on her one-woman show first performed in 2013 at the Edinburgh Fringe Festival."
fleabane,Fleabane is a common name for some flowering plants in the family Asteraceae.
fleawort,Fleawort is a common name for several plants and may refer to:
flecainide,Flecainide is a medication used to prevent and treat abnormally fast heart rates.
fleck,Fleck is a surname.
fleer,"The Fleer Corporation, founded by Frank H. Fleer in 1885, was the first company to successfully manufacture bubble gum; it remained a family-owned enterprise until 1989."
flesh,Flesh is any aggregation of soft tissues of an organism.
flexure,A flexure is a flexible element (or combination of elements) engineered to be compliant in specific degrees of freedom.
flibbertigibbet,"Flibbertigibbet is a Middle English word referring to a flighty or whimsical person, usually a young woman."
flight,"Flight or flying is the process by which an object moves through a space without contacting any planetary surface, either within an atmosphere (i.e."
flimsy,"The flimsy, officially known as the Petrol, Oil and Water can, was a World War II fuel container used by the British Army."
flint,"Flint, occasionally flintstone, is a sedimentary cryptocrystalline form of the mineral quartz, categorized as the variety of chert that occurs in chalk or marly limestone."
flintlock,"Flintlock is a general term for any firearm that uses a flint-striking ignition mechanism, the first of which appeared in Western Europe in the early 16th century."
flirting,"Flirting or coquetry is a social and sexual behavior involving body language, or spoken or written communication."
floater,"Floaters or eye floaters are sometimes visible deposits (e.g., the shadows of tiny structures of protein or other cell debris projected onto the retina) within the eye's vitreous humour (""the vitreous""), which is normally transparent, or between the vitreous and retina."
floatplane,A floatplane is a type of seaplane with one or more slender floats mounted under the fuselage to provide buoyancy.
flocculation,"In colloidal chemistry, flocculation is a process by which colloidal particles come out of suspension to sediment in the form of floc or flake, either spontaneously or due to the addition of a clarifying agent."
flood,A flood is an overflow of water (or rarely other fluids) that submerges land that is usually dry.
floodgate,"Floodgates, also called stop gates, are adjustable gates used to control water flow in flood barriers, reservoir, river, stream, or levee systems."
floodlight,"A floodlight is a broad-beamed, high-intensity artificial light."
floodplain,A floodplain or flood plain or bottomlands is an area of land adjacent to a river.
floor,A floor is the bottom surface of a room or vehicle.
flooring,"Flooring is the general term for a permanent covering of a floor, or for the work of installing such a floor covering."
floorshow,Floorshow is an Australian television series which aired in 1963 on ABC Television.
floorwalker,"A floorwalker is a senior employee in a large store (usually a department store) who supervises sales staff, in addition to directing and assisting customers and resolving complaints and returns."
flophouse,"A flophouse (American English) or doss-house (British English) is a place that offers very low-cost lodging, providing space to sleep and minimal amenities."
flora,"Flora (pl.: floras or florae) is all the plant life present in a particular region or time, generally the naturally occurring (indigenous) native plants."
floriculture,"Floriculture is the study of the efficient production of the plants that produce showy, colorful flowers and foliage for human enjoyment and the human environment."
florilegium,"In medieval Latin, a florilegium (plural florilegia) was a compilation of excerpts or sententia from other writings and is an offshoot of the commonplacing tradition."
florin,The Florentine florin was a gold coin (in Italian Fiorino d'oro) struck from 1252 to 1533 with no significant change in its design or metal content standard during that time.
flotilla,"A flotilla (from Spanish, meaning a small flota (fleet) of ships), or naval flotilla, is a formation of small warships that may be part of a larger fleet."
flounder,Flounders are a group of flatfish species.
flour,"Flour is a powder made by grinding raw grains, roots, beans, nuts, or seeds."
flowchart,A flowchart is a type of diagram that represents a workflow or process.
flower,"A flower, also known as a bloom or blossom, is the reproductive structure found in flowering plants (plants of the division Angiospermae)."
flowerpot,"A flowerpot, planter, planterette or plant pot, is a container in which flowers and other plants are cultivated and displayed."
floxuridine,Floxuridine (also 5-fluorodeoxyuridine) is an oncology drug that belongs to the class known as antimetabolites.
flue,"A flue is a duct, pipe, or opening in a chimney for conveying exhaust gases from a fireplace, furnace, water heater, boiler, or generator to the outdoors."
fluency,"Fluency (also called volubility and eloquency) refers to continuity, smoothness, rate, and effort in speech production."
flugelhorn,"The flugelhorn (), also spelled fluegelhorn, flugel horn, or flügelhorn, is a brass instrument that resembles the trumpet and cornet but has a wider, more conical bore."
fluid,"In physics, a fluid is a liquid, gas, or other material that may continuously move and deform (flow) under an applied shear stress, or external force."
flume,"A flume is a human-made channel for water, in the form of an open declined gravity chute whose walls are raised above the surrounding terrain, in contrast to a trench or ditch."
flummery,"Flummery is a starch-based, sweet, soft dessert pudding known to have been popular in Britain and Ireland from the 17th to 19th centuries."
flunk,"Flunk is a Norwegian electronic band consisting of producer Ulf Nygaard, guitarist Jo Bakke, vocalist Anja Øyen Vister, and bassist Ole Kristian Wetten."
fluorapatite,"Fluorapatite, often with the alternate spelling of fluoroapatite, is a phosphate mineral with the formula Ca5(PO4)3F (calcium fluorophosphate)."
fluorescein,"Fluorescein is an organic compound and dye based on the xanthene tricyclic structural motif, formally belonging to triarylmethine dyes family."
fluorescence,Fluorescence is the emission of light by a substance that has absorbed light or other electromagnetic radiation.
fluoride,"Fluoride () is an inorganic, monatomic anion of fluorine, with the chemical formula F− (also written [F]−), whose salts are typically white or colorless."
fluorine,Fluorine is a chemical element; it has symbol F and atomic number 9.
fluorite,"Fluorite (also called fluorspar) is the mineral form of calcium fluoride, CaF2."
fluorocarbon,Fluorocarbons are chemical compounds with carbon-fluorine bonds.
fluoroform,"Fluoroform, or trifluoromethane, is the chemical compound with the formula CHF3."
fluoroscopy,Fluoroscopy () is an imaging technique that uses X-rays to obtain real-time moving images of the interior of an object.
fluorouracil,"Fluorouracil (5-FU, 5-fluorouracil), sold under the brand name Adrucil among others, is a cytotoxic chemotherapy medication used to treat cancer."
fluoxetine,"Fluoxetine, sold under the brand name Prozac, among others, is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class."
fluphenazine,"Fluphenazine, sold under the brand name Prolixin among others, is a high-potency typical antipsychotic medication."
flurazepam,Flurazepam (marketed under the brand names Dalmane and Dalmadorm) is a drug which is a benzodiazepine derivative.
flurbiprofen,Flurbiprofen is a member of the phenylalkanoic acid derivative family of nonsteroidal anti-inflammatory drugs (NSAIDs).
flute,The flute is a member of a family of musical instruments in the woodwind group.
fluvastatin,"Fluvastatin is a member of the statin drug class, used to treat hypercholesterolemia and to prevent cardiovascular disease."
flux,Flux describes any effect that appears to pass or travel (whether it actually moves or not) through a surface or substance.
fluxion,"A fluxion is the instantaneous rate of change, or gradient, of a fluent (a time-varying quantity, or function) at a given point."
fly,"Flies are insects of the order Diptera, the name being derived from the Greek δι- di- ""two"", and πτερόν pteron ""wing""."
flypaper,"Flypaper (also known as a fly ribbon, fly strip, fly capture tape, or fly catcher) is a fly-killing device made of paper coated with a sweetly fragrant, but extremely sticky and sometimes poisonous substance that traps flies and other flying insects when they land upon it."
flypast,A flypast is a ceremonial or honorific flight by an aircraft or group of aircraft.
flyway,A flyway is a flight path used by large numbers of birds while migrating between their breeding grounds and their overwintering quarters.
flyweight,Flyweight is a weight class in combat sports.
flywheel,A flywheel is a mechanical device which uses the conservation of angular momentum to store rotational energy; a form of kinetic energy proportional to the product of its moment of inertia and the square of its rotational speed.
foal,"A foal is an equine up to one year old; this term is used mainly for horses, but can be used for donkeys."
foam,Foams are materials formed by trapping pockets of gas in a liquid or solid.A bath sponge and the head on a glass of beer are examples of foams.
focalisation,Focalisation is a term coined by the French narrative theorist Gérard Genette.
fodder,"Fodder (), also called provender (), is any agricultural foodstuff used specifically to feed domesticated livestock, such as cattle, rabbits, sheep, horses, chickens and pigs."
fog,Fog is a visible aerosol consisting of tiny water droplets or ice crystals suspended in the air at or near the Earth's surface.
fogbank,"Fogbank (stylized as FOGBANK) is a code name given to a secret material used in the W76, W78 and W88 nuclear warheads that are part of the United States nuclear arsenal."
foghorn,"A foghorn or fog signal is a device that uses sound to warn vehicles of navigational hazards such as rocky coastlines, or boats of the presence of other vessels, in foggy conditions."
folate,"Folate, also known as vitamin B9 and folacin, is one of the B vitamins."
foliation,"In mathematics (differential geometry), a foliation is an equivalence relation on an n-manifold, the equivalence classes being connected, injectively immersed submanifolds, all of the same dimension p, modeled on the decomposition of the real coordinate space Rn into the cosets x + Rp of the standardly embedded subspace Rp."
folio,"The term ""folio"" (from Latin  folium 'leaf') has three interconnected but distinct meanings in the world of books and printing: first, it is a term for a common method of arranging sheets of paper into book form, folding the sheet only once, and a term for a book made in this way; second, it is a general term for a sheet, leaf or page in (especially) manuscripts and old books; and third, it is an approximate term for the size of a book, and for a book of this size."
folklore,"Folklore is the whole of oral traditions shared by a particular group of people, culture or subculture."
folliculitis,Folliculitis is the infection and inflammation of one or more hair follicles.
follies,Follies is a musical with music and lyrics by Stephen Sondheim and a book by James Goldman.
following,"Following is a 1998 independent neo-noir crime thriller film written, produced, edited and directed by Christopher Nolan."
folly,"In architecture, a folly is a building constructed primarily for decoration, but suggesting through its appearance some other purpose, or of such extravagant appearance that it transcends the range of usual garden buildings."
fomite,"A fomite () or fomes () is any inanimate object that, when contaminated with or exposed to infectious agents (such as pathogenic bacteria, viruses or fungi), can transfer disease to a new host."
fondant,"Fondant is a mixture of sugar and water used as a confection, filling, or icing."
fondue,"Fondue (UK: , US: , French: [fɔ̃dy]) is a Swiss melted cheese and wine dish served in a communal pot (caquelon or fondue pot) over a portable stove (réchaud) heated with a candle or spirit lamp, and eaten by dipping bread and sometimes vegetables into the cheese using long-stemmed forks."
font,"In metal typesetting, a font is a particular size, weight and style of a typeface."
fontanelle,"A fontanelle (or fontanel) (colloquially, soft spot) is an anatomical feature of the infant human skull comprising soft membranous gaps (sutures) between the cranial bones that make up the calvaria of a fetus or an infant."
food,Food is any substance consumed by an organism for nutritional support.
foodie,"A foodie is a person who has an ardent or refined interest in food, and who eats food not only out of hunger but also as a hobby."
foolishness,"Foolishness is the inability or failure to act following reason due to lack of judgment, stupidity, stubbornness, etc."
foot,The foot (pl.: feet) is an anatomical structure found in many vertebrates.
footage,"In filmmaking and video production, footage is raw, unedited material as originally filmed by a movie camera or recorded by a (often special) video camera, which typically must be edited to create a motion picture, video clip, television show or similar completed work."
football,"Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal."
footbridge,"A footbridge (also a pedestrian bridge, pedestrian overpass, or pedestrian overcrossing) is a bridge designed solely for pedestrians."
footedness,"In human biology, footedness is the natural preference of one's left or right foot for various purposes."
footfall,Footfall is a 1985 science fiction novel  by American writers Larry Niven and Jerry Pournelle.
footlights,"The Cambridge Footlights, commonly referred to simply as Footlights, is a student sketch comedy  troupe located in Cambridge, England."
footman,A footman is a male domestic worker employed mainly to wait at table or attend a coach or carriage.
footpad,"In archaic terminology, a footpad is a robber or thief specialising in pedestrian victims."
footpath,"A footpath (also pedestrian way, walking trail, nature trail) is a type of thoroughfare that is intended for use only by pedestrians and not other forms of traffic such as motorized vehicles, bicycles and horses."
footplate,A footplate provides the structure on which a locomotive driver and fireman stand in the cab to operate a British or continental European steam locomotive.
footprint,Footprints are the impressions or images left behind by a person walking or running.
footstool,"A footstool (foot stool, footrest, foot rest) is a piece of furniture or a support used to elevate the feet."
footwear,"Footwear refers to garments worn on the feet, which typically serve the purpose of protection against adversities of the environment such as wear from rough ground; stability on slippery ground; and temperature."
fop,Fop became a pejorative term for a man excessively concerned with his appearance and clothes in 17th-century England.
forage,Forage is a plant material (mainly plant leaves and stems) eaten by grazing livestock.
forager,A forager is a person who collects edible plants or fungi for consumption.
foraging,Foraging is searching for wild food resources.
foramen,"In anatomy and osteology, a  foramen (; pl.: foramina,  or foramens ) is an opening or enclosed gap within the dense connective tissue (bones and deep fasciae) of extant and extinct amniote animals, typically to allow passage of nerves, arteries, veins or other soft tissue structures (e.g."
foray,"A foray (Polish: zajazd, Belarusian: наезд, romanized: nayezd, Ukrainian: наїзд, romanized: naizd) was a traditional method of law enforcement in Grand Duchy of Lithuania and Polish–Lithuanian Commonwealth."
forbearance,"Forbearance, in the context of a mortgage process, is a special agreement between the lender and the borrower to delay a foreclosure."
force,"In physics, a force is an influence that can cause an object to change its velocity, i.e., to accelerate, meaning a change in speed or direction, unless counterbalanced by other forces."
forcemeat,"Forcemeat (derived from the French farcir, ""to stuff"") is a uniform mixture of lean meat with fat made by grinding or sieving the ingredients."
forceps,Forceps (pl.
forearm,The forearm is the region of the upper limb between the elbow and the wrist.
forebrain,"In the  anatomy of the brain of vertebrates, the forebrain or prosencephalon is the rostral (forward-most) portion of the brain."
forecasting,Forecasting is the process of making predictions based on past and present data.
forecastle,"The forecastle (  FOHK-səl; contracted as fo'c'sle or fo'c's'le) is the upper deck of a sailing ship forward of the foremast, or, historically, the forward part of a ship with the sailors' living quarters."
foreclosure,"Foreclosure is a legal process in which a lender attempts to recover the balance of a loan from a borrower who has stopped making payments to the lender by forcing the sale of the asset used as the collateral for the loan.Formally, a mortgage lender (mortgagee), or other lienholder, obtains a termination of a mortgage borrower (mortgagor)'s equitable right of redemption, either by court order or by operation of law (after following a specific statutory procedure).Usually, a lender obtains a security interest from a borrower who mortgages or pledges an asset like a house to secure the loan."
forefather,Forefather is an English folk metal band from Surrey.
forefoot,"The forefoot is the anterior aspect of the foot, composed of the five metatarsal bones, the fourteen phalanges and associated soft tissue structures."
foregrounding,"Foregrounding is a concept in literary studies that concerns making a linguistic utterance (word, clause, phrase, phoneme, etc.) stand out from the surrounding linguistic context, from given literary traditions, or from more general world knowledge."
forehand,"The forehand in tennis and other racket sports such as table tennis, squash and badminton is a shot made by swinging the racket across one's body with the hand moving palm-first."
forehead,"In human anatomy, the forehead is an area of the head bounded by three features, two of the skull and one of the scalp."
forelimb,A forelimb or front limb is one of the paired articulated appendages (limbs) attached on the cranial (anterior) end of a terrestrial tetrapod vertebrate's torso.
forelock,"The forelock or foretop is a part of a horse's mane, that grows from the animal's poll and falls forward between the ears and onto the forehead."
foreordination,"Foreordination, an important doctrine of the Church of Jesus Christ of Latter-day Saints (LDS Church), teaches that during the pre-mortal existence, God selected (""foreordained"") particular people to fulfill certain missions (""callings"") during their mortal lives."
foreplay,Foreplay is a set of emotionally and physically intimate acts between one or more people meant to create sexual arousal and desire for sexual activity.
foresail,"A foresail is one of a few different types of sail set on the foremost mast (foremast) of a sailing vessel:

A fore-and-aft sail set on the foremast of a schooner or similar vessel."
foreshadowing,Foreshadowing is a narrative device in which a storyteller gives an advance hint of what is to come later in the story.
foreshock,A foreshock is an earthquake that occurs before a larger seismic event – the mainshock – and is related to it in both time and space.
foreskin,"In male human anatomy, the foreskin, also known as the prepuce (), is the double-layered fold of skin, mucosal and muscular tissue at the distal end of the human penis that covers the glans and the urinary meatus."
forest,A forest is an area of land dominated by trees.
forestay,"On a sailing vessel, a forestay, sometimes just called a stay, is a piece of standing rigging which keeps a mast from falling backwards."
forester,"A forester is a person who practises forestry, the science, art, and profession of managing forests."
forestiera,"Forestiera is a genus of flowering plants in the olive family, Oleaceae."
forestry,"Forestry is the science and craft of creating, managing, planting, using, conserving and repairing forests and woodlands for associated resources for human and environmental benefits."
foreword,"A foreword is a (usually short) piece of writing, sometimes placed at the beginning of a book or other piece of literature."
forge,"A forge is a type of hearth used for heating metals, or the workplace (smithy) where such a hearth is located."
forgery,Forgery is a white-collar crime that generally refers to the false making or material alteration of a legal instrument with the specific intent to defraud.
forging,Forging is a manufacturing process involving the shaping of metal using localized compressive forces.
forgiveness,"Forgiveness, in a psychological sense, is the intentional and voluntary process by which one who may have felt initially wronged, victimized, harmed or hurt goes through a process in changing feelings and attitude regarding a given offender for his/her actions, and overcomes the impact of the offense, flaw or mistake including negative emotions such as resentment or a desire for vengeance."
fork,"In cutlery or kitchenware, a fork (from Latin: furca 'pitchfork') is a utensil, now usually made of metal, whose long handle terminates in a head that branches into several narrow and often slightly curved tines with which one can spear foods either to hold them to cut with a knife or to lift them to the mouth."
forklift,"A forklift (also called industrial truck, lift truck, jitney, hi-lo, fork truck, fork hoist, and forklift truck) is a powered industrial truck used to lift and move materials over short distances."
formaldehyde,"Formaldehyde (  for-MAL-di-hide, US also   fər-) (systematic name methanal) is an organic compound with the formula CH2O and structure H−CHO. The compound is a pungent, colourless gas that polymerises spontaneously into paraformaldehyde."
formality,"A formality is an established procedure or set of specific behaviors and utterances, conceptually similar to a ritual although typically secular and less involved."
former,"A former is an object, such as a template, gauge or cutting die, which is used to form something such as a boat's hull."
formication,"Formication is the sensation resembling that of small insects crawling on (or under) the skin, in the absence of actual insects."
formula,"In science, a formula is a concise way of expressing information symbolically, as in a mathematical formula or a chemical formula."
formulation,"Formulation is a term used in various senses in various applications, both the material and the abstract or formal."
fornication,Fornication is generally consensual sexual intercourse between two people not married to each other.
forsythia,"Forsythia ,  is a genus of flowering plants in the olive family Oleaceae."
fortification,"A fortification (also called a fort, fortress, or stronghold) is a military construction designed for the defense of territories in warfare, and is used to establish rule in a region during peacetime."
fortnight,A fortnight is a unit of time equal to 14 days (two weeks).
fossil,"A fossil (from Classical Latin fossilis, lit. 'obtained by digging') is any preserved remains, impression, or trace of any once-living thing from a past geological age."
fosterage,"Fosterage, the practice of a family bringing up a child not their own, differs from adoption in that the child's parents, not the foster-parents, remain the acknowledged parents."
fothergilla,"Fothergilla (witch alder) is a genus of two to four species of flowering plants in the family Hamamelidaceae, native to woodland and swamps of the southeastern United States."
foulard,"A foulard is a lightweight fabric, either twill or plain-woven, made of silk or a mix of silk and cotton."
foundry,A foundry is a factory that produces metal castings.
fountain,"A fountain, from the Latin ""fons"" (genitive ""fontis""), meaning source or spring, is a decorative reservoir used for discharging water."
fowl,"Fowl are birds belonging to one of two biological orders, namely the gamefowl or landfowl (Galliformes) and the waterfowl (Anseriformes)."
fox,"Foxes are small to medium-sized, omnivorous mammals belonging to several genera of the family Canidae."
foxhound,"A foxhound is a type of large hunting hound bred for strong hunting instincts, a keen sense of smell, and their bark, energy, drive, and speed."
foxtrot,"The foxtrot is a smooth, progressive dance characterized by long, continuous flowing movements across the dance floor."
fractal,"In mathematics, a fractal is a geometric shape containing detailed structure at arbitrarily small scales, usually having a fractal dimension strictly exceeding the topological dimension."
fraction,"A fraction (from Latin: fractus, ""broken"") represents a part of a whole or, more generally, any number of equal parts."
fractionation,"Fractionation is a separation process in which a certain quantity of a mixture (of gasses, solids, liquids, enzymes, or isotopes, or a suspension) is divided during a phase transition, into a number of smaller quantities (fractions) in which the composition varies according to a gradient."
fracture,Fracture is the appearance of a crack or complete separation of an object or material into two or more pieces under the action of stress.
fraise,Fraise (1988–2005) was an American Thoroughbred racehorse best known for winning the 1992 Breeders' Cup Turf.
framboise,Framboise (French pronunciation: [fʁɑ̃bwaz]) is a Belgian lambic beer fermented with raspberry (framboise is the French word for raspberry).
framer,A framer is a word employed in many different senses.
franc,The franc is any of various units of currency.
francium,Francium is a chemical element; it has symbol Fr and atomic number 87.
frangibility,"A material is said to be frangible if through deformation it tends to break up into fragments, rather than deforming elastically and retaining its cohesion as a single object."
frangipane,"Frangipane ( FRAN-jih-pa(y)n), is a sweet almond-flavored custard, typical in French pastry, used in a variety of ways, including cakes and such pastries as the Bakewell tart, conversation tart, Jésuite and pithivier."
frankincense,"Frankincense, also known as olibanum (ō-ˈlib-ə-nəm), is an aromatic resin used in incense and perfumes, obtained from trees of the genus Boswellia in the family Burseraceae."
fraternity,"A fraternity (from Latin frater: ""brother""; whence, ""brotherhood"") or fraternal organization is an organization, society, club or fraternal order traditionally of men associated together for various religious or secular aims."
fraternization,"Fraternization (from Latin frater meaning ""brother"") is the act of establishing intimate relations between people or groups."
fratricide,"Fratricide (from Latin  fratricidium; from  frater 'brother', and  -cīdium 'killing' – the assimilated root of caedere 'to kill, cut down') is the act of killing one's own brother."
fraud,"In law, fraud is intentional deception to secure unfair or unlawful gain, or to deprive a victim of a legal right."
freak,A freak is a person who is physically deformed or transformed due to an extraordinary medical condition or body modification.
freckle,Freckles are clusters of concentrated melaninized cells which are most easily visible on people with a fair complexion.
freedman,"A freedman or freedwoman is a formerly enslaved person who has been released from slavery, usually by legal means."
freedom,"Freedom is the power or right to act, speak, and change as one wants without hindrance or restraint."
freelancer,"Freelance (sometimes spelled free-lance or free lance), freelancer, or freelance worker, are terms commonly used for a person who is self-employed and not necessarily committed to a particular employer long-term."
freemasonry,"Freemasonry or Masonry refers to fraternal organisations guilds of stonemasons that, from the end of the 14th century, regulated the qualifications of stonemasons and their interaction with authorities and clients."
freesia,"Freesia is a genus of herbaceous perennial flowering plants in the family Iridaceae, first described as a genus in 1866 by Christian Friedrich Ecklon (1886) and named after the German botanist and medical practitioner, Friedrich Freese (1795-1876)."
freeware,"Freeware is software, most often proprietary, that is distributed at no monetary cost to the end user."
freewheel,"In mechanical or automotive engineering, a freewheel or overrunning clutch is a device in a transmission that disengages the driveshaft from the driven shaft when the driven shaft rotates faster than the driveshaft."
freezing,Freezing is a phase transition where a liquid turns into a solid when its temperature is lowered below its freezing point.
frenzy,Frenzy is a 1972 British thriller film directed by Alfred Hitchcock.
